text,label
"Really bad quality, very disappointed.",negative
"Brilliant service, will use again.",positive
The movie was boring and dull.,negative
Great value for money.,positive
The movie was incredible!,positive
"Terrible, I want a refund.",negative
"This is terrible, I hate it.",negative
Great value for money.,positive
Great value for money.,positive
"Standard service, nothing remarkable.",neutral
Exceeded my expectations in every way.,positive
Great value for money.,positive
Average experience overall.,neutral
Superb performance by the actors.,positive
Worst experience of my life.,negative
"Really bad quality, very disappointed.",negative
An ordinary experience.,neutral
Exceeded my expectations in every way.,positive
Not worth the money at all.,negative
Mediocre performance.,neutral
"It was okay, nothing special.",neutral
Neither good nor bad.,neutral
Absolutely pathetic performance.,negative
Absolutely pathetic performance.,negative
Superb performance by the actors.,positive
Mediocre performance.,neutral
"Just fine, as expected.",neutral
Not worth the money at all.,negative
"Fantastic product, highly recommend.",positive
Not worth the money at all.,negative
"Standard service, nothing remarkable.",neutral
Absolutely pathetic performance.,negative
Mediocre performance.,neutral
Exceeded my expectations in every way.,positive
Very satisfied with the quality.,positive
"This is terrible, I hate it.",negative
Neither good nor bad.,neutral
What a wonderful experience!,positive
"Terrible, I want a refund.",negative
This is amazing and works great.,positive
"Awful product, complete waste.",negative
Great value for money.,positive
Average experience overall.,neutral
"Brilliant service, will use again.",positive
"Brilliant service, will use again.",positive
Great value for money.,positive
"Brilliant service, will use again.",positive
I absolutely love this!,positive
"It was okay, nothing special.",neutral
This is amazing and works great.,positive
Great value for money.,positive
This is amazing and works great.,positive
I absolutely love this!,positive
Mediocre performance.,neutral
I absolutely love this!,positive
Superb performance by the actors.,positive
"Brilliant service, will use again.",positive
"Brilliant service, will use again.",positive
The movie was boring and dull.,negative
Very satisfied with the quality.,positive
An ordinary experience.,neutral
Not worth the money at all.,negative
The movie was boring and dull.,negative
Neither good nor bad.,neutral
What a wonderful experience!,positive
This is amazing and works great.,positive
"Standard service, nothing remarkable.",neutral
Exceeded my expectations in every way.,positive
"This is terrible, I hate it.",negative
"Horrible service, won't come back.",negative
"Terrible, I want a refund.",negative
Absolutely pathetic performance.,negative
Absolutely pathetic performance.,negative
"So frustrating, I regret buying this.",negative
Worst experience of my life.,negative
"So frustrating, I regret buying this.",negative
"Horrible service, won't come back.",negative
Superb performance by the actors.,positive
The movie was decent.,neutral
"Just fine, as expected.",neutral
"Brilliant service, will use again.",positive
Exceeded my expectations in every way.,positive
Average experience overall.,neutral
"Fantastic product, highly recommend.",positive
"So frustrating, I regret buying this.",negative
This is amazing and works great.,positive
The movie was incredible!,positive
"Not too bad, not too good either.",neutral
The movie was boring and dull.,negative
"Terrible, I want a refund.",negative
"So frustrating, I regret buying this.",negative
Neither good nor bad.,neutral
"Terrible, I want a refund.",negative
Worst experience of my life.,negative
Average experience overall.,neutral
"Horrible service, won't come back.",negative
Exceeded my expectations in every way.,positive
Great value for money.,positive
"Not too bad, not too good either.",neutral
This is amazing and works great.,positive
"So frustrating, I regret buying this.",negative
The product is acceptable.,neutral
Superb performance by the actors.,positive
The movie was boring and dull.,negative
Absolutely pathetic performance.,negative
This is amazing and works great.,positive
"So frustrating, I regret buying this.",negative
"Terrible, I want a refund.",negative
"This is terrible, I hate it.",negative
Exceeded my expectations in every way.,positive
I absolutely love this!,positive
The movie was decent.,neutral
The movie was boring and dull.,negative
Superb performance by the actors.,positive
"Just fine, as expected.",neutral
"This is terrible, I hate it.",negative
"Really bad quality, very disappointed.",negative
Not worth the money at all.,negative
Superb performance by the actors.,positive
What a wonderful experience!,positive
"So frustrating, I regret buying this.",negative
Very satisfied with the quality.,positive
"So frustrating, I regret buying this.",negative
"Fantastic product, highly recommend.",positive
"Terrible, I want a refund.",negative
"So frustrating, I regret buying this.",negative
The movie was decent.,neutral
"So frustrating, I regret buying this.",negative
The movie was incredible!,positive
"Really bad quality, very disappointed.",negative
What a wonderful experience!,positive
This is amazing and works great.,positive
The product is acceptable.,neutral
"Terrible, I want a refund.",negative
"Fantastic product, highly recommend.",positive
What a wonderful experience!,positive
"Fantastic product, highly recommend.",positive
This is amazing and works great.,positive
What a wonderful experience!,positive
"This is terrible, I hate it.",negative
Superb performance by the actors.,positive
"This is terrible, I hate it.",negative
The movie was decent.,neutral
I absolutely love this!,positive
Worst experience of my life.,negative
Absolutely pathetic performance.,negative
The movie was incredible!,positive
"This is terrible, I hate it.",negative
Absolutely pathetic performance.,negative
Mediocre performance.,neutral
The movie was incredible!,positive
"Brilliant service, will use again.",positive
I absolutely love this!,positive
"Brilliant service, will use again.",positive
"Standard service, nothing remarkable.",neutral
"Really bad quality, very disappointed.",negative
"Brilliant service, will use again.",positive
"Horrible service, won't come back.",negative
Mediocre performance.,neutral
"Brilliant service, will use again.",positive
Very satisfied with the quality.,positive
"Terrible, I want a refund.",negative
An ordinary experience.,neutral
Very satisfied with the quality.,positive
The movie was decent.,neutral
"Standard service, nothing remarkable.",neutral
Great value for money.,positive
What a wonderful experience!,positive
Neither good nor bad.,neutral
I absolutely love this!,positive
Exceeded my expectations in every way.,positive
Superb performance by the actors.,positive
Mediocre performance.,neutral
Superb performance by the actors.,positive
Great value for money.,positive
Very satisfied with the quality.,positive
Worst experience of my life.,negative
The movie was incredible!,positive
"Brilliant service, will use again.",positive
"Really bad quality, very disappointed.",negative
Absolutely pathetic performance.,negative
"Fantastic product, highly recommend.",positive
The product is acceptable.,neutral
"Terrible, I want a refund.",negative
An ordinary experience.,neutral
This is amazing and works great.,positive
"Really bad quality, very disappointed.",negative
What a wonderful experience!,positive
"So frustrating, I regret buying this.",negative
The movie was incredible!,positive
The movie was decent.,neutral
"Horrible service, won't come back.",negative
"Just fine, as expected.",neutral
Not worth the money at all.,negative
This is amazing and works great.,positive
Absolutely pathetic performance.,negative
Superb performance by the actors.,positive
Great value for money.,positive
"Fantastic product, highly recommend.",positive
Absolutely pathetic performance.,negative
Neither good nor bad.,neutral
Great value for money.,positive
"Really bad quality, very disappointed.",negative
"Fantastic product, highly recommend.",positive
Very satisfied with the quality.,positive
I absolutely love this!,positive
The movie was boring and dull.,negative
Superb performance by the actors.,positive
"Just fine, as expected.",neutral
"This is terrible, I hate it.",negative
Absolutely pathetic performance.,negative
Great value for money.,positive
Worst experience of my life.,negative
"Terrible, I want a refund.",negative
Not worth the money at all.,negative
The movie was boring and dull.,negative
Worst experience of my life.,negative
"Really bad quality, very disappointed.",negative
"This is terrible, I hate it.",negative
"Horrible service, won't come back.",negative
"This is terrible, I hate it.",negative
"This is terrible, I hate it.",negative
Exceeded my expectations in every way.,positive
Great value for money.,positive
I absolutely love this!,positive
Absolutely pathetic performance.,negative
"Really bad quality, very disappointed.",negative
Neither good nor bad.,neutral
Worst experience of my life.,negative
Great value for money.,positive
"Brilliant service, will use again.",positive
Great value for money.,positive
The product is acceptable.,neutral
The movie was incredible!,positive
Not worth the money at all.,negative
"So frustrating, I regret buying this.",negative
"So frustrating, I regret buying this.",negative
What a wonderful experience!,positive
Exceeded my expectations in every way.,positive
Superb performance by the actors.,positive
"Terrible, I want a refund.",negative
What a wonderful experience!,positive
The product is acceptable.,neutral
Very satisfied with the quality.,positive
The movie was boring and dull.,negative
Superb performance by the actors.,positive
Very satisfied with the quality.,positive
Very satisfied with the quality.,positive
"This is terrible, I hate it.",negative
Great value for money.,positive
"It was okay, nothing special.",neutral
"This is terrible, I hate it.",negative
The product is acceptable.,neutral
Superb performance by the actors.,positive
"Horrible service, won't come back.",negative
"Not too bad, not too good either.",neutral
Exceeded my expectations in every way.,positive
The movie was boring and dull.,negative
I absolutely love this!,positive
An ordinary experience.,neutral
Not worth the money at all.,negative
What a wonderful experience!,positive
"Horrible service, won't come back.",negative
Very satisfied with the quality.,positive
Very satisfied with the quality.,positive
"Really bad quality, very disappointed.",negative
Average experience overall.,neutral
I absolutely love this!,positive
Neither good nor bad.,neutral
Great value for money.,positive
I absolutely love this!,positive
"Terrible, I want a refund.",negative
Not worth the money at all.,negative
"Awful product, complete waste.",negative
Absolutely pathetic performance.,negative
Worst experience of my life.,negative
Absolutely pathetic performance.,negative
"Horrible service, won't come back.",negative
"So frustrating, I regret buying this.",negative
The movie was incredible!,positive
Worst experience of my life.,negative
Not worth the money at all.,negative
"Standard service, nothing remarkable.",neutral
The movie was boring and dull.,negative
This is amazing and works great.,positive
The product is acceptable.,neutral
Worst experience of my life.,negative
"Standard service, nothing remarkable.",neutral
Absolutely pathetic performance.,negative
"Horrible service, won't come back.",negative
"Horrible service, won't come back.",negative
"Terrible, I want a refund.",negative
Worst experience of my life.,negative
"So frustrating, I regret buying this.",negative
"Brilliant service, will use again.",positive
This is amazing and works great.,positive
"Terrible, I want a refund.",negative
Neither good nor bad.,neutral
The movie was decent.,neutral
An ordinary experience.,neutral
"It was okay, nothing special.",neutral
"So frustrating, I regret buying this.",negative
"This is terrible, I hate it.",negative
"Fantastic product, highly recommend.",positive
"Brilliant service, will use again.",positive
"Brilliant service, will use again.",positive
"This is terrible, I hate it.",negative
"Terrible, I want a refund.",negative
"Fantastic product, highly recommend.",positive
What a wonderful experience!,positive
"Terrible, I want a refund.",negative
The movie was boring and dull.,negative
"It was okay, nothing special.",neutral
Worst experience of my life.,negative
I absolutely love this!,positive
"This is terrible, I hate it.",negative
"Not too bad, not too good either.",neutral
"Brilliant service, will use again.",positive
"Awful product, complete waste.",negative
"This is terrible, I hate it.",negative
I absolutely love this!,positive
"Standard service, nothing remarkable.",neutral
Superb performance by the actors.,positive
Mediocre performance.,neutral
Superb performance by the actors.,positive
"Really bad quality, very disappointed.",negative
Very satisfied with the quality.,positive
Worst experience of my life.,negative
"Fantastic product, highly recommend.",positive
Worst experience of my life.,negative
This is amazing and works great.,positive
I absolutely love this!,positive
"Fantastic product, highly recommend.",positive
Very satisfied with the quality.,positive
"Brilliant service, will use again.",positive
"Fantastic product, highly recommend.",positive
Absolutely pathetic performance.,negative
Worst experience of my life.,negative
Absolutely pathetic performance.,negative
Great value for money.,positive
Exceeded my expectations in every way.,positive
"Horrible service, won't come back.",negative
Neither good nor bad.,neutral
Not worth the money at all.,negative
"Fantastic product, highly recommend.",positive
Superb performance by the actors.,positive
Neither good nor bad.,neutral
An ordinary experience.,neutral
The movie was boring and dull.,negative
"Horrible service, won't come back.",negative
"Horrible service, won't come back.",negative
The movie was decent.,neutral
The movie was incredible!,positive
The movie was boring and dull.,negative
Mediocre performance.,neutral
Great value for money.,positive
"This is terrible, I hate it.",negative
Average experience overall.,neutral
Not worth the money at all.,negative
"Brilliant service, will use again.",positive
Very satisfied with the quality.,positive
Not worth the money at all.,negative
"This is terrible, I hate it.",negative
Superb performance by the actors.,positive
The movie was incredible!,positive
"Fantastic product, highly recommend.",positive
"Really bad quality, very disappointed.",negative
Absolutely pathetic performance.,negative
The movie was boring and dull.,negative
An ordinary experience.,neutral
What a wonderful experience!,positive
The product is acceptable.,neutral
"Really bad quality, very disappointed.",negative
"Terrible, I want a refund.",negative
"Awful product, complete waste.",negative
This is amazing and works great.,positive
Neither good nor bad.,neutral
I absolutely love this!,positive
Very satisfied with the quality.,positive
The movie was incredible!,positive
Exceeded my expectations in every way.,positive
The product is acceptable.,neutral
Great value for money.,positive
"This is terrible, I hate it.",negative
"Just fine, as expected.",neutral
I absolutely love this!,positive
Absolutely pathetic performance.,negative
What a wonderful experience!,positive
The movie was incredible!,positive
The movie was incredible!,positive
"Terrible, I want a refund.",negative
"Not too bad, not too good either.",neutral
"Not too bad, not too good either.",neutral
Absolutely pathetic performance.,negative
Worst experience of my life.,negative
An ordinary experience.,neutral
"Just fine, as expected.",neutral
"Terrible, I want a refund.",negative
Absolutely pathetic performance.,negative
"So frustrating, I regret buying this.",negative
"So frustrating, I regret buying this.",negative
Not worth the money at all.,negative
"Just fine, as expected.",neutral
Absolutely pathetic performance.,negative
"It was okay, nothing special.",neutral
The movie was decent.,neutral
"Awful product, complete waste.",negative
The movie was boring and dull.,negative
"Awful product, complete waste.",negative
"Terrible, I want a refund.",negative
The movie was incredible!,positive
Great value for money.,positive
The movie was boring and dull.,negative
"Standard service, nothing remarkable.",neutral
"Fantastic product, highly recommend.",positive
The movie was boring and dull.,negative
"Terrible, I want a refund.",negative
Great value for money.,positive
What a wonderful experience!,positive
The movie was boring and dull.,negative
"Brilliant service, will use again.",positive
An ordinary experience.,neutral
The product is acceptable.,neutral
The movie was incredible!,positive
"Standard service, nothing remarkable.",neutral
Superb performance by the actors.,positive
"So frustrating, I regret buying this.",negative
Superb performance by the actors.,positive
"This is terrible, I hate it.",negative
An ordinary experience.,neutral
"Really bad quality, very disappointed.",negative
Very satisfied with the quality.,positive
"Terrible, I want a refund.",negative
Average experience overall.,neutral
This is amazing and works great.,positive
"Terrible, I want a refund.",negative
"Horrible service, won't come back.",negative
Worst experience of my life.,negative
What a wonderful experience!,positive
"Terrible, I want a refund.",negative
Exceeded my expectations in every way.,positive
Not worth the money at all.,negative
Not worth the money at all.,negative
I absolutely love this!,positive
Worst experience of my life.,negative
"Just fine, as expected.",neutral
Superb performance by the actors.,positive
Not worth the money at all.,negative
"Standard service, nothing remarkable.",neutral
Worst experience of my life.,negative
Not worth the money at all.,negative
Exceeded my expectations in every way.,positive
"Really bad quality, very disappointed.",negative
"Fantastic product, highly recommend.",positive
Neither good nor bad.,neutral
The movie was incredible!,positive
"It was okay, nothing special.",neutral
The movie was incredible!,positive
Neither good nor bad.,neutral
Superb performance by the actors.,positive
Superb performance by the actors.,positive
What a wonderful experience!,positive
"Brilliant service, will use again.",positive
"So frustrating, I regret buying this.",negative
"Horrible service, won't come back.",negative
Worst experience of my life.,negative
Exceeded my expectations in every way.,positive
"Awful product, complete waste.",negative
An ordinary experience.,neutral
"Fantastic product, highly recommend.",positive
"Awful product, complete waste.",negative
The product is acceptable.,neutral
"Brilliant service, will use again.",positive
"Awful product, complete waste.",negative
"Terrible, I want a refund.",negative
"Not too bad, not too good either.",neutral
Not worth the money at all.,negative
The movie was boring and dull.,negative
Worst experience of my life.,negative
Great value for money.,positive
Superb performance by the actors.,positive
Great value for money.,positive
"Horrible service, won't come back.",negative
Exceeded my expectations in every way.,positive
Absolutely pathetic performance.,negative
Great value for money.,positive
"It was okay, nothing special.",neutral
"So frustrating, I regret buying this.",negative
"Awful product, complete waste.",negative
"Not too bad, not too good either.",neutral
I absolutely love this!,positive
Neither good nor bad.,neutral
Superb performance by the actors.,positive
Great value for money.,positive
Exceeded my expectations in every way.,positive
The movie was incredible!,positive
"Horrible service, won't come back.",negative
Worst experience of my life.,negative
"Not too bad, not too good either.",neutral
Very satisfied with the quality.,positive
